MIR4632	MIR4632
VPS13D	VPS13D
SNORA59B	SNORA59B
SNORA59A	SNORA59A
DHRS3	DHRS3
MIR6730	MIR6730
AADACL4	AADACL4
AADACL3	AADACL3
C1orf158	C1orf158
PRAMEF12	PRAMEF12
PRAMEF1	PRAMEF1
PRAMEF11	PRAMEF11
HNRNPCL4	HNRNPCL4
HNRNPCL3	HNRNPCL3
HNRNPCL1	HNRNPCL1
PRAMEF2	PRAMEF2
PRAMEF4	PRAMEF4
PRAMEF8	PRAMEF8
PRAMEF7	PRAMEF7
PRAMEF6	PRAMEF6
PRAMEF9	PRAMEF9
LOC101929983	LOC101929983
LOC391003	LOC391003
PRAMEF22	PRAMEF22
PRAMEF25	PRAMEF25
PRAMEF26	PRAMEF26
PRAMEF5	PRAMEF5
LOC649324	LOC649324
LOC645354	LOC645354
HNRNPCL2	HNRNPCL2
PRAMEF10	PRAMEF10
LOC645382	LOC645382
PRAMEF15	PRAMEF15
LOC400736	LOC400736
PRAMEF14	PRAMEF14
PRAMEF19	PRAMEF19
PRAMEF16	PRAMEF16
PRAMEF17	PRAMEF17
PRAMEF20	PRAMEF20
LRRC38	LRRC38
PDPN	PDPN
PRDM2	PRDM2
KAZN	KAZN
TMEM51.AS1	TMEM51.AS1
TMEM51	TMEM51
C1orf195	C1orf195
FHAD1	FHAD1
EFHD2	EFHD2
CTRC	CTRC
CELA2A	CELA2A
CELA2B	CELA2B
CASP9	CASP9
DNAJC16	DNAJC16
AGMAT	AGMAT
DDI2	DDI2
RSC1A1	RSC1A1
PLEKHM2	PLEKHM2
SLC25A34	SLC25A34
TMEM82	TMEM82
FBLIM1	FBLIM1
UQCRHL	UQCRHL
FLJ37453	FLJ37453
SPEN	SPEN
MIR5096	MIR5096
ZBTB17	ZBTB17
C1orf64	C1orf64
HSPB7	HSPB7
CLCNKA	CLCNKA
CLCNKB	CLCNKB
FAM131C	FAM131C
EPHA2	EPHA2
ARHGEF19	ARHGEF19
RSG1	RSG1
FBXO42	FBXO42
SZRD1	SZRD1
SPATA21	SPATA21
NECAP2	NECAP2
CROCCP3	CROCCP3
FAM231B	FAM231B
MIR3675	MIR3675
NBPF1	NBPF1
CROCCP2	CROCCP2
MST1P2	MST1P2
FAM231A	FAM231A
FAM231C	FAM231C
ESPNP	ESPNP
MST1L	MST1L
CROCC	CROCC
MFAP2	MFAP2
ATP13A2	ATP13A2
SDHB	SDHB
PADI2	PADI2
PADI1	PADI1
PADI3	PADI3
MIR3972	MIR3972
PADI4	PADI4
PADI6	PADI6
RCC2	RCC2
ARHGEF10L	ARHGEF10L
ACTL8	ACTL8
LOC101927876	LOC101927876
IGSF21	IGSF21
KLHDC7A	KLHDC7A
PAX7	PAX7
TAS1R2	TAS1R2
ALDH4A1	ALDH4A1
MIR4695	MIR4695
MIR1290	MIR1290
IFFO2	IFFO2
UBR4	UBR4
EMC1	EMC1
